Cities,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,10 Percentile,20 Percentile,30 Percentile,40 Percentile,50 Percentile,60 Percentile,70 Percentile,80 Percentile,90 Percentile,Maximum,20 Deg,40 Deg,60 Deg,80 Deg,100 Deg,120 Deg,140 Deg,160 Deg,180 Deg,200 Deg,220 Deg,240 Deg,260 Deg,280 Deg,300 Deg,320 Deg,340 Deg,360 Deg
Bengaluru,0.2211,0.0501,0.6133,0.1139,0.0015,0.0001,0.0001,0.0001,0,,,,,,,,0.05,0.08,0.17,0.12,0.1,0.08,0.09,0.1,0.09,0.13,0.0171,0.025,0.044,0.1012,0.4399,0.0904,0.0444,0.038,0.1058,0.0673,0.007,0.0031,0.0026,0.0024,0.0002,0.0002,0,0
Bogota,0.1715,0.0974,0.526,0.2001,0.0041,0.0005,0.0001,0.0001,0,0.0002,,,,,,,0.08,0.09,0.18,0.13,0.12,0.11,0.11,0.07,0.05,0.08,0.0156,0.0202,0.0358,0.082,0.524,0.0795,0.0348,0.0257,0.0918,0.0614,0.0066,0.003,0.002,0.004,0.0004,0.0001,0.0001,0
Boston,0.2154,0.1152,0.5672,0.0989,0.0031,0.0003,0,0,0,,,,,,,,0.07,0.09,0.09,0.09,0.11,0.11,0.1,0.11,0.12,0.11,0.0227,0.0353,0.0595,0.1103,0.3178,0.106,0.06,0.0508,0.1095,0.0774,0.0114,0.0046,0.0029,0.0024,0.0005,0.0002,0.0001,0
BuenosAires,0.0701,0.0616,0.4274,0.4334,0.006,0.0014,0.0001,0,,,,,,,,,0.06,0.05,0.05,0.05,0.08,0.17,0.24,0.22,0.05,0.04,0.0091,0.0139,0.0293,0.047,0.6983,0.046,0.0269,0.0148,0.0626,0.0383,0.0027,0.0014,0.0008,0.0015,0.0002,0.0001,0,0
Calcutta,0.259,0.0413,0.6339,0.065,0.0008,0.0001,,,,,,,,,,,0.08,0.12,0.17,0.14,0.12,0.09,0.08,0.08,0.06,0.05,0.0117,0.0237,0.0414,0.0965,0.4214,0.0996,0.0513,0.0429,0.1116,0.0748,0.0071,0.0032,0.0018,0.0015,0.0002,0.0001,0,0
Chengdu,0.129,0.1861,0.4223,0.2524,0.0075,0.0015,0.0006,0.0004,0.0001,0.0001,0.0001,,,,,,0.07,0.08,0.05,0.04,0.05,0.04,0.05,0.08,0.16,0.38,0.0447,0.0349,0.0526,0.1006,0.3832,0.0877,0.0471,0.0376,0.1103,0.0733,0.0088,0.0035,0.0017,0.0016,0.0002,0.0001,0.0002,0
Chennai,0.1864,0.0603,0.6345,0.1167,0.0016,0.0003,0.0001,0,0,,,,,,,,0.05,0.08,0.13,0.15,0.13,0.1,0.1,0.11,0.09,0.06,0.0151,0.0193,0.0283,0.0776,0.5085,0.0716,0.0287,0.0246,0.1122,0.0694,0.0044,0.0019,0.002,0.0042,0.0002,0.0001,0,0
Chicago,0.1455,0.0971,0.5416,0.2127,0.0026,0.0003,0,0,0,,,,,,,,0.07,0.09,0.06,0.15,0.09,0.08,0.13,0.11,0.14,0.08,0.0173,0.0198,0.0357,0.0711,0.5354,0.0656,0.0375,0.0286,0.0929,0.0558,0.0068,0.0035,0.003,0.0039,0.0004,0.0002,0.0001,0
Chongqing,0.1501,0.3376,0.3886,0.1217,0.0017,0.0004,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.09,0.15,0.41,0.056,0.0477,0.058,0.0825,0.2191,0.0811,0.0672,0.0681,0.1577,0.1112,0.0236,0.0079,0.004,0.002,0.0011,0.0003,0.0001,0
Dalian,0.1888,0.1724,0.4646,0.1688,0.0044,0.001,0.0001,,,,,,,,,,0.04,0.05,0.05,0.05,0.06,0.05,0.07,0.11,0.15,0.38,0.0353,0.0416,0.0637,0.1057,0.3048,0.1014,0.0638,0.0551,0.1128,0.0803,0.0144,0.0045,0.0021,0.0013,0.0004,0.0001,0,0
Dallas,0.2089,0.098,0.5355,0.1548,0.0026,0.0002,,,,,,,,,,,0.05,0.07,0.06,0.08,0.08,0.12,0.13,0.12,0.14,0.14,0.0228,0.0222,0.0386,0.0906,0.4641,0.0835,0.0381,0.0296,0.101,0.0673,0.0077,0.0033,0.0028,0.0045,0.0005,0.0002,0.0001,0
Delhi,0.1337,0.0676,0.6362,0.1603,0.0019,0.0002,0,0.0001,0,,,,,,,,0.09,0.16,0.13,0.12,0.12,0.08,0.08,0.08,0.07,0.08,0.015,0.0196,0.0301,0.0579,0.5749,0.0559,0.0306,0.0225,0.1064,0.0665,0.0049,0.0021,0.0017,0.0033,0.0004,0.0001,0,0
Detroit,0.1807,0.1006,0.5386,0.1782,0.0017,0.0001,0,0,0,,,,,,,,0.08,0.09,0.06,0.07,0.08,0.11,0.13,0.1,0.15,0.13,0.0227,0.0239,0.0369,0.076,0.492,0.0704,0.0402,0.0328,0.0976,0.0622,0.0076,0.0039,0.0031,0.0044,0.0005,0.0002,0.0002,0.0001
Dhaka,0.2213,0.0763,0.5807,0.1194,0.0014,0.0002,0.0005,0.0002,,,,,,,,,0.09,0.08,0.12,0.13,0.11,0.08,0.09,0.11,0.1,0.09,0.0168,0.0183,0.0357,0.0898,0.4776,0.0862,0.0394,0.0325,0.1107,0.072,0.0058,0.0026,0.0023,0.0024,0.0002,0.0001,0,0
Dongguan,0.1725,0.1857,0.4421,0.1931,0.0059,0.0006,0.0001,,,,,,,,,,0.05,0.06,0.04,0.04,0.05,0.04,0.06,0.09,0.16,0.4,0.0537,0.0407,0.054,0.1057,0.3164,0.0992,0.057,0.0443,0.1212,0.0813,0.012,0.0041,0.0016,0.0011,0.0004,0.0002,0.0001,0
Fuzhou,0.2004,0.1565,0.476,0.1581,0.0065,0.0023,0.0002,0.0001,,,,,,,,,0.08,0.05,0.04,0.04,0.04,0.05,0.06,0.09,0.13,0.44,0.0541,0.0481,0.0646,0.1102,0.2596,0.1049,0.0736,0.0637,0.1003,0.0728,0.0184,0.0067,0.0026,0.0018,0.0002,0,0,0
